STOCK,PRICE,TIME
PLUG,9.23,2020-07-10 15:04:26.166072
DOCU,208.79,2020-07-10 15:04:32.234024
AMZN,3138.46,2020-07-10 15:04:38.291292
AVLR,138.11,2020-07-10 15:04:44.345613
COUP,309.7,2020-07-10 15:04:49.663768
MSCI,367.74,2020-07-10 15:04:55.466798
ACAD,55.1,2020-07-10 15:05:01.517214
TDOC,228.05,2020-07-10 15:05:06.574492
OSTK,45.49,2020-07-10 15:05:20.863895
ZM,274.58,2020-07-10 15:05:26.787739
TSLA,1380.73,2020-07-10 15:05:32.836703
CLDR,12.5,2020-07-10 15:05:38.889032
FREQ,22.7,2020-07-10 15:05:44.939802
FSLY,97.11,2020-07-10 15:05:50.127424
TTD,454.88,2020-07-10 15:05:55.271558
PLUG,9.26,2020-07-10 15:06:01.115396
DOCU,209.43,2020-07-10 15:06:07.175260
AMZN,3151.33,2020-07-10 15:06:13.234788
AVLR,138.19,2020-07-10 15:06:19.062115
COUP,310.27,2020-07-10 15:06:24.262549
MSCI,367.18,2020-07-10 15:06:30.398449
ACAD,55.42,2020-07-10 15:06:35.334279
TDOC,227.84,2020-07-10 15:06:40.500799
OSTK,47.1,2020-07-10 15:18:19.437264
ZM,274.01,2020-07-10 15:18:25.495159
TSLA,1390.55,2020-07-10 15:18:31.556259
CLDR,12.52,2020-07-10 15:18:37.569372
FREQ,23.07,2020-07-10 15:18:42.655683
FSLY,97.09,2020-07-10 15:18:48.716747
TTD,457.99,2020-07-10 15:18:54.774511
PLUG,9.26,2020-07-10 15:19:00.832665
DOCU,210.4,2020-07-10 15:19:09.928017
AMZN,3173.09,2020-07-10 15:19:15.984880
AVLR,139.45,2020-07-10 15:19:22.051933
COUP,312.52,2020-07-10 15:19:28.111879
MSCI,368.9,2020-07-10 15:19:34.159007
ACAD,55.85,2020-07-10 15:19:39.366916
